Category,Brand,Barcode,Supplier,Par Level,Threshold,Total Count,Room Details
Bag In The Box,Coke 5 gal,No barcode,ABC Liquors,3,1,0,
Bag In The Box,Diet Coke 5 gal,No barcode,ABC Liquors,3,1,0,
Bag In The Box,Minute lemonade 2.5 gal,No barcode,ABC Liquors,3,1,0,
Bag In The Box,Tonic 2.5 gal,No barcode,ABC Liquors,3,1,0,
Bag In The Box,Cranberry. 2.5 gal,No barcode,ABC Liquors,3,1,0,
Bag In The Box,Ginger ale 2.5 gal,No barcode,ABC Liquors,3,1,0,
Bag In The Box,Sprite 5 gal,No barcode,ABC Liquors,3,1,0,
Beer Bottles,Corona extra 6 pack,8066145,ABC Liquors,12,1,0,
Beer Bottles,Corona light 6 pack,8066242,ABC Liquors,12,1,0,
Beer Bottles,Bud light 6 pack,1816927,ABC Liquors,12,1,0,
Beer Bottles,Budweiser 6 pack,1816820,ABC Liquors,12,2,0,
Beer Bottles,Coors light 6 pack,7199044,ABC Liquors,12,2,0,
Beer Bottles,Heineken 6 pack,No barcode,ABC Liquors,12,2,0,
Beer Bottles,Heineken light 6 pack,No barcode,ABC Liquors,12,2,0,
Beer Bottles,Heineken 0 6 pack,72890006196,ABC Liquors,12,2,0,
Beer Bottles,Michelob Ultra Light 6 pack,No barcode,ABC Liquors,12,2,0,
Beer Bottles,Miller light 6 pack,No barcode,ABC Liquors,12,2,0,
Beer Bottles,Sierra Nevada Pale Ale 6 pack,8378354,ABC Liquors,12,2,0,
Beer Bottles,St Pauli Girl NA,No barcode,ABC Liquors,4,1,0,
Beer Bottles,Stella 6 pack,No barcode,ABC Liquors,12,2,0,
Beer Bottles,Yuengling 6 pack,8992468,ABC Liquors,12,2,0,
Beer cans,Budweiser 16 oz 12 pack,No barcode,ABC Liquors,5,1,0,
Beer cans,Coors light 16 oz 24 pack,No barcode,ABC Liquors,5,1,0,
Beer cans,Corona light 12 pack,No barcode,ABC Liquors,5,1,0,
Beer cans,Heineken can 12 pack,No barcode,ABC Liquors,5,1,0,
Beer cans,Kronenbourg 1664 16.9 oz 4 pack,No barcode,ABC Liquors,6,2,0,
Beer cans,Guinness can NA 4 pack,No barcode,ABC Liquors,20,2,0,
Beer cans,Miller lite 16 oz 12 pack,No barcode,ABC Liquors,5,2,0,
Beer cans,Fiddlehead IPA can 12 pack,No barcode,ABC Liquors,12,2,0,
Beer cans,Bud Light 16 oz 12 pack,No barcode,ABC Liquors,5,1,0,
Beer cans,Coors light 12 oz,No barcode,ABC Liquors,5,1,0,
Beer cans,Corona can 12 pack,No barcode,ABC Liquors,5,1,0,
Beer cans,Heineken 00 12 pack,No barcode,ABC Liquors,5,1,0,
Beer cans,Heineken light can 12 pack,No barcode,ABC Liquors,6,1,0,
Beer cans,Guinness can 16 oz 4 pack,No barcode,ABC Liquors,20,2,0,
Beer cans,Michelob Ultra 16 oz 12 pack,No barcode,ABC Liquors,5,1,0,
Beer cans,Stella can 12 pack,No barcode,ABC Liquors,8,2,0,
Beer cans,Lagunitas IPA 12 pack,No barcode,ABC Liquors,24,2,0,
Beer kegs,Allagash White 16 bbl,No barcode,ABC Liquors,4,1,0,
Beer kegs,Kane,No barcode,ABC Liquors,4,1,0,
Beer kegs,Six Point Crisp 16,No barcode,ABC Liquors,3,1,0,
Beer kegs,Gunness 12 bbl,No barcode,ABC Liquors,3,1,0,
Beer kegs,Kronenbourg 1664 12 bbl,No barcode,ABC Liquors,3,1,0,
Beer kegs,Founders All Day IPA 12 bbl,No barcode,ABC Liquors,3,1,0,
Beer kegs,Magnify,No barcode,ABC Liquors,4,2,0,
Bourbon,Jack Daniels,82184090442,ABC Liquors,8,2,0,
Bourbon,Makers Mark,85246139424,ABC Liquors,10,2,0,
Bourbon,Woodford reserve,81128001483,ABC Liquors,9,2,0,
Bourbon,Whistle pig rye,851460002253,ABC Liquors,5,2,0,
Bourbon,Knob Creek,80686016878,ABC Liquors,10,2,0,
Bourbon,Angels envy,850047003003,ABC Liquors,10,2,0,
Bourbon,Basil Haden,80686012139,ABC Liquors,8,2,0,
Bourbon,Buffalo Trace,80244003715,ABC Liquors,7,2,0,
Bourbon,Blantons,80244002039,ABC Liquors,10,2,0,
Bourbon,Bulleit,87000005549,ABC Liquors,10,3,0,
Bourbon,Bulleit rye,82000752974,ABC Liquors,10,3,0,
Bourbon,Buffalo Trace Cream,80244009229,ABC Liquors,7,2,0,
Bourbon,Cooper Fox,892241001058,ABC Liquors,5,1,0,
Bourbon,Milam and green Rye,817758020118,ABC Liquors,10,2,0,
Bourbon,Old Forester,81128005047,ABC Liquors,5,1,0,
Bourbon,Watershed,672975400972,ABC Liquors,5,1,0,
Bourbon,1792 Small Batch,88004042196,ABC Liquors,5,1,0,
Bourbon,Cabin Fever,86816327340,ABC Liquors,9,1,0,
Bourbon,Jack Daniels Apple,82184004364,ABC Liquors,5,1,0,
Bourbon,Misunderstood Ginger,866940000308,ABC Liquors,5,1,0,
Bourbon,Town Branch,747301018517,ABC Liquors,5,1,0,
Bourbon,Milam  Greene very small batch,817758020422,ABC Liquors,6,2,0,
Bourbon,Elijah Craig,96749002870,ABC Liquors,5,1,0,
Bourbon,Milam  Greene.,817758020439,ABC Liquors,6,2,0,
Bourbon,Milam  Greene straight bourbon single,817758020163,ABC Liquors,6,2,0,
Brandy & Cognac,Busnel VSOP,739949900019,ABC Liquors,5,1,0,
Brandy & Cognac,Courvoisier VSOP,80686962038,ABC Liquors,5,1,0,
Brandy & Cognac,Remy Martin VSOP,No barcode,ABC Liquors,20,1,0,
Brandy & Cognac,Remy Martin XO,87236002336,ABC Liquors,2,1,0,
Canned cocktails,White claw,No barcode,ABC Liquors,24,4,0,
Canned cocktails,Dogfish seltzer,No barcode,ABC Liquors,24,2,0,
Canned cocktails,High Noon Vodka 4 pack,85000031377,ABC Liquors,100,2,0,
Canned cocktails,Surfside 4 pack,850025605311,ABC Liquors,48,2,0,
Canned cocktails,Nutrl 4 pack,18200262401,ABC Liquors,50,4,0,
Canned cocktails,High noon tequila 4 pack,No barcode,ABC Liquors,50,4,0,
Canned cocktails,Fisher island,No barcode,ABC Liquors,12,2,0,
Cans & Bottles,Arizona Bottles 16 oz,No barcode,ABC Liquors,4,2,0,
Cans & Bottles,Arizona bottles 12 oz,No barcode,ABC Liquors,4,2,0,
Cans & Bottles,Bottled water 16.9 oz,75720481279,ABC Liquors,25,5,0,
